ekg,gsr,answer_valence,answer_arousal
662,11,,
688,14,,
715,9,,
746,14,,
776,12,,
804,9,,
830,14,,
853,9,,
876,12,,
897,12,,
915,8,,
930,14,,
940,8,,
941,12,,
930,12,,
914,8,,
892,14,,
862,11,,
827,10,,
785,14,,
738,10,,
687,11,,
628,14,,
571,10,,
514,14,,
458,14,,
400,11,,
344,15,,
294,12,,
251,13,,
219,13,,
196,12,,
181,14,,
173,12,,
172,12,,
176,14,,
185,12,,
197,13,,
215,14,,
236,12,,
258,14,,
280,14,,
305,11,,
327,14,,
349,13,,
368,12,,
386,15,,
403,12,,
418,12,,
431,15,,
442,11,,
453,14,,
462,13,,
469,11,,
476,15,,
481,11,,
486,13,,
490,14,,
493,10,,
496,14,,
497,13,,
499,11,,
500,15,,
501,11,,
502,14,,
502,12,,
503,12,,
504,15,,
507,10,,
508,15,,
508,12,,
510,12,,
510,14,,
511,11,,
512,14,,
512,13,,
513,11,,
513,15,,
513,10,,
514,14,,
515,14,,
516,10,,
517,15,,
518,12,,
518,11,,
518,14,,
519,11,,
519,14,,
519,14,,
519,10,,
519,15,,
519,13,,
519,10,,
519,15,,
520,11,,
521,13,,
522,15,,
523,11,,
524,14,,
524,14,,
525,10,,
526,14,,
525,12,,
526,11,,
527,14,,
527,10,,
528,14,,
529,14,,
529,10,,
529,15,,
529,13,,
529,11,,
529,15,,
529,11,,
528,13,,
527,15,,
528,10,,
528,14,,
528,14,,
529,10,,
529,14,,
530,13,,
530,10,,
529,15,,
530,12,,
531,12,,
531,14,,
532,10,,
533,14,,
534,14,,
535,10,,
534,14,,
534,14,,
535,11,,
535,13,,
536,13,,
537,10,,
537,15,,
537,11,,
537,12,,
538,15,,
539,11,,
538,13,,
539,14,,
539,10,,
540,14,,
542,14,,
543,10,,
543,14,,
543,12,,
544,11,,
545,14,,
547,11,,
548,13,,
550,14,,
550,10,,
551,14,,
553,13,,
554,10,,
555,15,,
556,12,,
556,11,,
557,14,,
557,10,,
557,14,,
557,13,,
557,9,,
558,14,,
558,13,,
559,11,,
560,14,,
560,11,,
561,12,,
562,14,,
564,10,,
566,14,,
568,14,,
568,10,,
570,14,,
571,13,,
572,9,,
572,14,,
572,13,,
573,11,,
574,14,,
575,10,,
575,14,,
575,13,,
575,10,,
575,14,,
576,10,,
577,12,,
577,14,,
579,10,,
579,13,,
580,14,,
582,9,,
582,14,,
583,13,,
584,9,,
585,14,,
587,12,,
588,10,,
588,14,,
588,12,,
588,10,,
588,14,,
588,10,,
589,13,,
588,14,,
590,9,,
591,14,,
592,12,,
594,10,,
595,14,,
595,11,,
596,11,,
596,14,,
597,10,,
597,12,,
596,14,,
596,9,,
596,14,,
596,13,,
596,9,,
596,14,,
596,12,,
595,10,,
595,15,,
595,10,,
594,12,,
595,14,,
596,11,,
597,13,,
597,14,,
596,9,,
597,14,,
596,12,,
595,10,,
595,14,,
595,10,,
594,14,,
592,13,,
591,10,,
591,14,,
591,11,,
591,13,,
590,13,,
589,9,,
588,14,,
587,12,,
585,11,,
585,14,,
584,11,,
583,12,,
583,14,,
583,10,,
580,14,,
579,12,,
578,11,,
577,14,,
575,10,,
574,13,,
573,14,,
571,9,,
568,14,,
567,13,,
564,10,,
563,14,,
561,12,,
558,11,,
556,14,,
554,10,,
552,14,,
551,13,,
548,10,,
547,14,,
545,13,,
543,10,,
542,14,,
540,10,,
538,13,,
536,14,,
533,10,,
531,14,,
529,11,,
527,13,,
525,13,,
522,10,,
520,14,,
518,11,,
517,14,,
514,14,,
513,10,,
511,14,,
509,13,,
507,10,,
506,14,,
504,10,,
503,13,,
502,14,,
500,10,,
498,14,,
496,13,,
494,10,,
491,14,,
490,13,,
488,10,,
487,15,,
486,11,,
485,13,,
484,14,,
484,11,,
483,14,,
484,14,,
483,10,,
484,14,,
483,14,,
482,10,,
481,14,,
480,14,,
480,10,,
478,14,,
477,12,,
477,12,,
476,14,,
476,11,,
476,13,,
476,14,,
476,10,,
478,13,,
479,14,,
480,10,,
480,13,,
481,14,,
481,10,,
482,14,,
483,14,,
483,10,,
484,14,,
486,13,,
487,10,,
486,14,,
486,13,,
486,10,,
487,15,,
489,12,,
489,11,,
488,14,,
489,12,,
490,10,,
492,14,,
492,13,,
494,11,,
496,14,,
497,11,,
497,13,,
499,14,,
499,10,,
